Day fraction since midnight on 11/11/2022	7 kPa (cm)	Raw Water Pump ()	Pump Control ()	Clay Pump ()	PACl Pump ()	Floc Recycle Pump ()	Bulk Effluent Pump ()	ChemTrac Read All ()	PC 1.2 Total N ()	PC 1.2 Bin 1 N ()	PC 1.2 Bin 2 N ()	PC 1.2 Bin 3 N ()	PC 1.2 Bin 4 N ()	PC 1.2 Bin 5 N ()	PC 1.2 Bin 6 N ()	PC 1.2 Cell ()	PC 1.3 Total N ()	PC 1.3 Bin 1 N ()	PC 1.3 Bin 2 N ()	PC 1.3 Bin 3 N ()	PC 1.3 Bin 4 N ()	PC 1.3 Bin 5 N ()	PC 1.3 Bin 6 N ()	PC 1.3 Cell ()	PACl Scale ()	Raw Turbidity ()	Settled Water Turbidimeter ()	Basin Pump Duty Cycle ()
0.00036127	840.55322266	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15242.54468107	1365.00000000	755.00000000	332.00000000	226.00000000	41.00000000	6.00000000	3.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.40000000	102.79213715	0.23549034	0.00000000
0.00105573	840.60675049	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15302.45600986	1361.00000000	749.00000000	337.00000000	224.00000000	44.00000000	5.00000000	3.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.30000000	102.83586121	0.25354615	0.00000000
0.00175018	840.75878906	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15362.19099998	1363.00000000	735.00000000	337.00000000	235.00000000	47.00000000	5.00000000	4.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.30000000	102.53069305	0.26210049	0.00000000
0.00244462	840.77984619	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15422.48841381	1404.00000000	756.00000000	338.00000000	238.00000000	54.00000000	11.00000000	6.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.30000000	102.86286163	0.29440224	0.00000000
0.00313908	840.84942627	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15482.39970875	1357.00000000	731.00000000	326.00000000	239.00000000	50.00000000	7.00000000	4.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.20000000	102.68920898	0.23872910	0.00000000
0.00383353	839.76788330	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15542.30831432	1336.00000000	721.00000000	331.00000000	230.00000000	47.00000000	4.00000000	2.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.10000000	102.76959229	0.23885910	0.00000000
0.00452799	840.84869385	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15602.41310978	1295.00000000	709.00000000	314.00000000	221.00000000	44.00000000	4.00000000	2.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.10000000	102.86018372	0.23877327	0.00000000
0.00522244	840.86370850	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15662.34146023	1311.00000000	712.00000000	320.00000000	223.00000000	47.00000000	5.00000000	3.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.00000000	102.67346191	0.26175129	0.00000000
0.00591690	840.76055908	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15722.44511127	1286.00000000	705.00000000	306.00000000	217.00000000	47.00000000	7.00000000	3.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.00000000	103.01828766	0.21794221	0.00000000
0.00661134	840.80407715	184.36363636	0.92592593	29.40000000	3.48135593	60.00000000	261.34549601	15782.35446167	1277.00000000	700.00000000	311.00000000	214.00000000	45.00000000	4.00000000	3.00000000	89.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	88.00000000	1180.00000000	102.70552063	0.22613528	0.00000000
